time,open,high,low,close,volume,SMA_short,SMA_long,RSI
2026-02-19 09:47:00+00:00,154.81,154.814,154.792,154.806,215,154.892,,32.71028037383314
2026-02-19 09:48:00+00:00,154.805,154.81,154.784,154.786,211,154.88315,,26.1261261261252
2026-02-19 09:49:00+00:00,154.784,154.785,154.754,154.783,240,154.87525,154.8834,26.244343891398998
2026-02-19 09:50:00+00:00,154.783,154.823,154.783,154.818,122,154.8693,154.88252,34.80000000000304
2026-02-19 09:51:00+00:00,154.818,154.819,154.793,154.794,148,154.86385,154.88128,35.365853658538285
2026-02-19 09:52:00+00:00,154.794,154.795,154.764,154.772,174,154.8561,154.87968,25.206611570254722
2026-02-19 09:53:00+00:00,154.77,154.784,154.766,154.77,147,154.85060000000001,154.87794000000002,19.736842105276935
2026-02-19 09:54:00+00:00,154.768,154.798,154.76,154.798,81,154.84589999999997,154.87738000000002,26.20967741936039
2026-02-19 09:55:00+00:00,154.799,154.834,154.798,154.83,164,154.84300000000002,154.87762,36.19402985075224
2026-02-19 09:56:00+00:00,154.83,154.832,154.802,154.807,131,154.83865,154.8774,32.8719723183403
2026-02-19 09:57:00+00:00,154.808,154.812,154.806,154.807,38,154.83570000000003,154.87678,36.39846743295332
2026-02-19 09:58:00+00:00,154.806,154.819,154.791,154.792,95,154.8307,154.87568000000002,35.447761194032424
2026-02-19 09:59:00+00:00,154.79,154.81,154.784,154.81,135,154.82580000000002,154.87519999999998,41.090909090909925
2026-02-19 10:00:00+00:00,154.808,154.82,154.785,154.785,238,154.81924999999998,154.87446000000003,45.0199203187252
2026-02-19 10:01:00+00:00,154.784,154.804,154.782,154.786,103,154.81334999999999,154.8736,45.96774193548303
2026-02-19 10:02:00+00:00,154.787,154.804,154.785,154.792,98,154.80765,154.8726,51.28205128205097
2026-02-19 10:03:00+00:00,154.794,154.813,154.743,154.771,439,154.8023,154.87052,47.61904761904816
2026-02-19 10:04:00+00:00,154.772,154.782,154.752,154.774,207,154.79749999999999,154.86828,40.0
2026-02-19 10:05:00+00:00,154.774,154.786,154.746,154.761,332,154.7926,154.86492,42.105263157893305
2026-02-19 10:06:00+00:00,154.76,154.798,154.759,154.792,268,154.7917,154.8624,54.587155963304134
2026-02-19 10:07:00+00:00,154.792,154.8,154.774,154.787,105,154.79075,154.86002,53.846153846151864
2026-02-19 10:08:00+00:00,154.786,154.8,154.784,154.792,99,154.79104999999998,154.85757999999998,48.48484848484892
2026-02-19 10:09:00+00:00,154.794,154.798,154.78,154.798,148,154.7918,154.85486,40.69767441860446
2026-02-19 10:10:00+00:00,154.795,154.802,154.788,154.802,159,154.791,154.85234,48.36601307189713
2026-02-19 10:11:00+00:00,154.8,154.811,154.784,154.793,178,154.79095,154.84987999999998,45.67901234568486
2026-02-19 10:12:00+00:00,154.792,154.808,154.786,154.804,158,154.79255,154.84716,53.797468354430144
2026-02-19 10:13:00+00:00,154.8,154.806,154.785,154.798,145,154.79395,154.84482,45.89041095890437
2026-02-19 10:14:00+00:00,154.796,154.809,154.794,154.808,120,154.79445,154.84202000000002,58.77862595419699
2026-02-19 10:15:00+00:00,154.808,154.824,154.808,154.824,121,154.79415,154.83954,63.01369863013939
2026-02-19 10:16:00+00:00,154.823,154.834,154.813,154.814,170,154.7945,154.83684000000002,57.33333333332879
2026-02-19 10:17:00+00:00,154.813,154.816,154.806,154.812,83,154.79475,154.834,65.64885496184166
2026-02-19 10:18:00+00:00,154.813,154.814,154.809,154.812,113,154.79575,154.83098,64.84375000000591
2026-02-19 10:19:00+00:00,154.81,154.824,154.809,154.824,68,154.79645,154.82864,74.80314960630943
2026-02-19 10:20:00+00:00,154.822,154.823,154.796,154.796,104,154.797,154.82582,51.612903225802754
2026-02-19 10:21:00+00:00,154.796,154.8,154.796,154.798,54,154.79760000000002,154.82371999999998,54.54545454545241
2026-02-19 10:22:00+00:00,154.797,154.804,154.784,154.804,149,154.7982,154.82126,54.91803278688486
2026-02-19 10:23:00+00:00,154.802,154.806,154.771,154.784,189,154.79885,154.81934,44.85294117646782
2026-02-19 10:24:00+00:00,154.786,154.807,154.786,154.806,115,154.80045,154.81762,51.29870129870706
2026-02-19 10:25:00+00:00,154.806,154.844,154.805,154.84,123,154.80440000000002,154.81666,63.12849162010659
2026-02-19 10:26:00+00:00,154.839,154.849,154.834,154.847,115,154.80715,154.81572,62.285714285711315
2026-02-19 10:27:00+00:00,154.846,154.858,154.843,154.846,76,154.81009999999998,154.81532,64.11764705881802
2026-02-19 10:28:00+00:00,154.847,154.848,154.82,154.831,132,154.81205,154.81410000000002,56.571428571423844
2026-02-19 10:29:00+00:00,154.83,154.831,154.81,154.814,137,154.81285,154.81222,47.15909090908659
2026-02-19 10:30:00+00:00,154.814,154.815,154.766,154.77,189,154.81125,154.8093,39.52380952381545
2026-02-19 10:31:00+00:00,154.77,154.798,154.77,154.785,152,154.81085000000002,154.80692000000002,43.94618834080489
2026-02-19 10:32:00+00:00,154.786,154.796,154.766,154.77,190,154.80915,154.8042,41.176470588236
2026-02-19 10:33:00+00:00,154.77,154.772,154.757,154.764,156,154.80745000000002,154.80192,37.06896551724244
2026-02-19 10:34:00+00:00,154.765,154.765,154.745,154.747,164,154.80440000000002,154.79946,38.91402714932639
2026-02-19 10:35:00+00:00,154.746,154.748,154.71,154.711,193,154.79874999999998,154.7965,32.941176470590065
2026-02-19 10:36:00+00:00,154.712,154.726,154.705,154.726,146,154.79435,154.79482,35.22727272727114
2026-02-19 10:37:00+00:00,154.725,154.725,154.712,154.712,66,154.78934999999998,154.79294000000002,36.046511627905446
2026-02-19 10:38:00+00:00,154.712,154.734,154.703,154.724,112,154.78495,154.7917,33.467741935476894
2026-02-19 10:39:00+00:00,154.724,154.748,154.713,154.742,152,154.78085,154.79088,28.879310344822088
2026-02-19 10:40:00+00:00,154.742,154.76,154.738,154.75,122,154.77855,154.78951999999998,29.184549356219193
2026-02-19 10:41:00+00:00,154.75,154.764,154.742,154.758,145,154.77655,154.78879999999998,31.666666666666472
2026-02-19 10:42:00+00:00,154.756,154.761,154.75,154.75,57,154.77385,154.78835999999998,32.618025751073546
2026-02-19 10:43:00+00:00,154.749,154.762,154.748,154.76,57,154.77265,154.78815999999998,38.05309734513073
2026-02-19 10:44:00+00:00,154.757,154.761,154.746,154.756,118,154.77015,154.78732,46.236559139781825
2026-02-19 10:45:00+00:00,154.757,154.758,154.742,154.745,123,154.7654,154.78562,39.01098901099047
2026-02-19 10:46:00+00:00,154.746,154.756,154.736,154.75,107,154.76055000000002,154.78448,44.18604651162483
2026-02-19 10:47:00+00:00,154.75,154.762,154.747,154.75,116,154.75575,154.78334,45.78313253011739
2026-02-19 10:48:00+00:00,154.75,154.75,154.734,154.734,94,154.7509,154.78218,46.060606060604286
2026-02-19 10:49:00+00:00,154.735,154.75,154.727,154.747,86,154.74755,154.78092,62.67605633802902
2026-02-19 10:50:00+00:00,154.746,154.748,154.738,154.746,128,154.74635,154.78014,57.812500000003126
2026-02-19 10:51:00+00:00,154.746,154.749,154.71,154.712,101,154.74269999999999,154.77866,50.0
2026-02-19 10:52:00+00:00,154.712,154.721,154.678,154.682,180,154.7383,154.77646000000001,37.34939759036289
2026-02-19 10:53:00+00:00,154.681,154.7,154.68,154.698,140,154.73499999999999,154.775,36.58536585366742
2026-02-19 10:54:00+00:00,154.696,154.7,154.66,154.664,170,154.73085,154.77280000000002,27.36842105263473
2026-02-19 10:55:00+00:00,154.668,154.702,154.667,154.701,154,154.73035,154.7716,36.9863013698623
2026-02-19 10:56:00+00:00,154.7,154.722,154.7,154.722,92,154.73015,154.77020000000002,43.965517241382585
2026-02-19 10:57:00+00:00,154.718,154.718,154.696,154.698,138,154.72944999999999,154.76842,37.398373983746595
2026-02-19 10:58:00+00:00,154.698,154.706,154.696,154.7,130,154.72825,154.76658,38.52459016393471
2026-02-19 10:59:00+00:00,154.7,154.71,154.696,154.708,153,154.72655,154.76478,42.32365145228314
2026-02-19 11:00:00+00:00,154.708,154.724,154.702,154.718,234,154.72495,154.7631,43.49593495934917
2026-02-19 11:01:00+00:00,154.719,154.719,154.674,154.676,204,154.72084999999998,154.76076,37.15277777777867
2026-02-19 11:02:00+00:00,154.674,154.689,154.65,154.686,183,154.71765,154.7584,41.48936170213023
2026-02-19 11:03:00+00:00,154.688,154.694,154.67,154.676,204,154.71345000000002,154.75596,37.275985663082736
